Date,Description,Amount,Transaction_Type,Category,Account_Name
12/15/2022,Transaction 1,31.25,debit,Shopping,A1
10/18/2022,Transaction 5,79.74,debit,Food_Dining,BCC2
9/20/2022,Transaction 6,81.69,debit,Food_Dining,BCC1
10/03/2022,Transaction 7,80.48,debit,Food_Dining,BCC2
9/10/2022,Transaction 8,62.17,debit,Food_Dining,BCC2
9/12/2022,Transaction 9,66.81,debit,Bills_Utilities,BCC1
12/08/2022,Transaction 10,4.99,debit,Shopping,CCC1
9/15/2022,Transaction 11,15.68,debit,Shopping,BCC1
11/29/2022,Transaction 12,32.31,debit,Shopping,CCC1
12/04/2022,Transaction 13,10.78,debit,Shopping,CCC1
11/21/2022,Transaction 14,17.01,debit,Shopping,BCC1
12/18/2022,Transaction 15,215.49,debit,Shopping,CCC1
12/11/2022,Transaction 20,8.19,credit,Shopping,CCC1
11/30/2022,Transaction 21,176.18,debit,Shopping,CCC1
12/11/2022,Transaction 22,17.23,debit,Shopping,CCC1
10/31/2022,Transaction 23,64.64,debit,Shopping,BCC1
11/27/2022,Transaction 24,10.76,debit,Shopping,CCC1
11/25/2022,Transaction 25,10.98,debit,Shopping,CCC1
12/05/2022,Transaction 26,9.69,debit,Shopping,CCC1
12/04/2022,Transaction 27,8.19,debit,Shopping,CCC1
12/12/2022,Transaction 28,6.44,debit,Shopping,CCC1
12/09/2022,Transaction 29,17.39,debit,Food_Dining,A1
11/28/2022,Transaction 32,900.0,debit,Shopping,A1
11/29/2022,Transaction 33,1493.62,debit,Shopping,BCC1
11/29/2022,Transaction 34,1196.81,debit,Shopping,BCC2
9/10/2022,Transaction 35,62.24,debit,Health_Fitness,BCC2
12/01/2022,Transaction 37,54.43,debit,Shopping,CC2
10/07/2022,Transaction 38,27.2,debit,Education,BCC2
10/06/2022,Transaction 67,2151.0,debit,Education,B
12/07/2022,Transaction 68,2.25,debit,Food_Dining,A1
12/18/2022,Transaction 69,4.08,debit,Auto_Transport,CC2
9/01/2022,Transaction 70,42.5,debit,Travel,BCC1
9/23/2022,Transaction 71,42.5,debit,Travel,BCC1
11/17/2022,Transaction 74,9.75,debit,Food_Dining,CC2
11/24/2022,Transaction 76,5.06,debit,Food_Dining,CC2
12/02/2022,Transaction 77,5.83,debit,Food_Dining,CC2
9/03/2022,Transaction 78,5.05,debit,Food_Dining,BCC1
11/03/2022,Transaction 79,3.8,debit,Food_Dining,BCC2
10/15/2022,Transaction 80,5.06,debit,Food_Dining,BCC2
9/30/2022,Transaction 90,1.37,debit,Food_Dining,BCC2
8/31/2022,Transaction 91,10.0,debit,Food_Dining,BCC1
10/10/2022,Transaction 92,10.0,debit,Food_Dining,BCC2
9/14/2022,Transaction 93,10.0,debit,Food_Dining,BCC2
10/12/2022,Transaction 94,10.0,debit,Food_Dining,BCC2
8/28/2022,Transaction 96,0.01,credit,Investments,CRYPTO
8/28/2022,Transaction 97,0.97,credit,Investments,CRYPTO
8/28/2022,Transaction 98,0.97,credit,Investments,CRYPTO
8/28/2022,Transaction 99,0.01,credit,Investments,CRYPTO
8/28/2022,Transaction 100,1.05,debit,Investments,CRYPTO
8/28/2022,Transaction 101,0.97,debit,Investments,CRYPTO
10/24/2022,Transaction 113,16.0,debit,Travel,BCC1
9/14/2022,Transaction 114,13.83,debit,Food_Dining,BCC2
9/08/2022,Transaction 115,6.56,debit,Food_Dining,BCC2
10/14/2022,Transaction 116,3.2,debit,Food_Dining,BCC2
12/16/2022,Transaction 117,6.56,debit,Food_Dining,A1
11/11/2022,Transaction 118,9.98,debit,Shopping,BCC1
11/04/2022,Transaction 119,10.84,debit,Shopping,BCC1
11/03/2022,Transaction 120,7.32,debit,Shopping,BCC1
10/24/2022,Transaction 121,10.63,debit,Shopping,BCC1
9/28/2022,Transaction 122,50.0,debit,Travel,BCC2
11/03/2022,Transaction 123,50.0,debit,Auto_Transport,BCC1
12/03/2022,Transaction 124,50.0,debit,Auto_Transport,BCC1
11/23/2022,Transaction 133,2.25,debit,Food_Dining,CC2
12/01/2022,Transaction 134,2.25,debit,Food_Dining,CC2
10/14/2022,Transaction 135,2.25,debit,Food_Dining,BCC2
10/25/2022,Transaction 136,12.0,debit,Entertainment,BCC2
10/14/2022,Transaction 138,2.7,debit,Food_Dining,BCC2
11/18/2022,Transaction 139,9.8,debit,Food_Dining,BCC1
9/27/2022,Transaction 140,9.8,debit,Food_Dining,BCC2
12/13/2022,Transaction 141,34.28,debit,Food_Dining,CC2
10/10/2022,Transaction 147,15.0,debit,Health_Fitness,BCC2
9/17/2022,Transaction 148,11.48,debit,Health_Fitness,BCC2
10/31/2022,Transaction 149,75.62,debit,Food_Dining,BCC1
10/08/2022,Transaction 150,21.99,debit,Travel,BCC2
9/02/2022,Transaction 151,19.76,debit,Travel,BCC1
10/01/2022,Transaction 152,15.96,debit,Travel,BCC2
9/30/2022,Transaction 153,21.99,debit,Travel,BCC2
11/19/2022,Transaction 154,26.94,credit,Shopping,PP
9/21/2022,Transaction 156,2.5,debit,Travel,BCC1
12/03/2022,Transaction 157,2.5,debit,Travel,BCC1
10/28/2022,Transaction 158,9.1,debit,Food_Dining,BCC1
9/09/2022,Transaction 159,3.62,debit,Food_Dining,BCC2
8/30/2022,Transaction 160,11.21,debit,Food_Dining,BCC2
11/26/2022,Transaction 163,13.55,debit,Shopping,BCC1
11/11/2022,Transaction 165,17.82,debit,Food_Dining,BCC2
12/15/2022,Transaction 197,31.25,debit,Shopping,PP
12/07/2022,Transaction 198,10.0,debit,Travel,PP
11/29/2022,Transaction 202,37.14,debit,Shopping,PP
9/14/2022,Transaction 203,18.36,credit,Shopping,PP
9/14/2022,Transaction 204,18.36,debit,Food_Dining,PP
11/19/2022,Transaction 205,26.94,debit,Shopping,PP
10/17/2022,Transaction 206,10.0,credit,Shopping,PP
9/22/2022,Transaction 207,10.0,debit,Food_Dining,PP
10/11/2022,Transaction 208,10.0,credit,Shopping,PP
10/03/2022,Transaction 209,10.0,credit,Shopping,PP
10/17/2022,Transaction 210,10.0,debit,Food_Dining,PP
9/22/2022,Transaction 211,10.0,credit,Shopping,PP
10/11/2022,Transaction 212,10.0,debit,Food_Dining,PP
10/03/2022,Transaction 213,10.0,debit,Food_Dining,PP
12/07/2022,Transaction 214,10.0,credit,Shopping,PP
12/07/2022,Transaction 217,10.0,debit,Shopping,A1
11/29/2022,Transaction 219,37.14,debit,Shopping,A1
11/21/2022,Transaction 220,26.94,debit,Shopping,BCC1
10/18/2022,Transaction 221,10.0,debit,Food_Dining,BCC2
10/12/2022,Transaction 222,10.0,debit,Food_Dining,BCC2
9/23/2022,Transaction 223,10.0,debit,Food_Dining,BCC2
10/04/2022,Transaction 224,10.0,debit,Food_Dining,BCC2
10/10/2022,Transaction 227,16.91,debit,Health_Fitness,BCC2
10/10/2022,Transaction 228,12.31,debit,Health_Fitness,BCC2
10/27/2022,Transaction 229,2.72,debit,Shopping,B
10/27/2022,Transaction 230,10.0,debit,Shopping,B
12/04/2022,Transaction 231,3.76,debit,Food_Dining,CC2
12/09/2022,Transaction 232,6.29,debit,Food_Dining,CC2
11/09/2022,Transaction 233,2.3,debit,Food_Dining,BCC1
10/27/2022,Transaction 234,2.3,debit,Food_Dining,BCC1
10/26/2022,Transaction 235,2.3,debit,Food_Dining,BCC1
11/04/2022,Transaction 236,1.04,debit,Food_Dining,BCC1
11/16/2022,Transaction 237,2.3,debit,Food_Dining,C
10/17/2022,Transaction 238,5.49,debit,Food_Dining,BCC1
10/20/2022,Transaction 239,45.85,debit,Food_Dining,BCC1
10/14/2022,Transaction 240,8.61,debit,Food_Dining,BCC1
11/01/2022,Transaction 241,19.14,debit,Food_Dining,BCC1
10/26/2022,Transaction 242,65.79,debit,Food_Dining,BCC1
9/28/2022,Transaction 243,69.99,debit,Food_Dining,BCC2
10/15/2022,Transaction 244,53.74,debit,Food_Dining,BCC2
10/04/2022,Transaction 245,9.18,credit,Food_Dining,BCC2
10/03/2022,Transaction 246,34.77,debit,Food_Dining,BCC2
9/23/2022,Transaction 247,49.7,debit,Food_Dining,BCC2
12/16/2022,Transaction 248,4.1,debit,Food_Dining,A1
9/15/2022,Transaction 249,18.36,debit,Food_Dining,B
11/04/2022,Transaction 250,8.67,debit,Food_Dining,B
11/17/2022,Transaction 251,10.0,debit,Food_Dining,B
12/12/2022,Transaction 252,5.75,debit,Travel,PP
10/28/2022,Transaction 256,24.15,debit,Food_Dining,C
12/06/2022,Transaction 257,10.16,debit,Food_Dining,CC2
11/19/2022,Transaction 258,6.04,debit,Food_Dining,BCC1
9/02/2022,Transaction 259,10.88,debit,Food_Dining,BCC1
8/29/2022,Transaction 260,11.12,debit,Shopping,BCC1
11/30/2022,Transaction 261,14.14,debit,Food_Dining,CC2
11/23/2022,Transaction 262,4.9,debit,Food_Dining,BCC1
12/08/2022,Transaction 263,5.45,debit,Food_Dining,BCC1
11/18/2022,Transaction 264,16.72,debit,Food_Dining,C
12/05/2022,Transaction 270,33.21,debit,Food_Dining,BCC1
10/18/2022,Transaction 271,50.0,debit,Food_Dining,BCC1
11/03/2022,Transaction 272,4.36,debit,Food_Dining,BCC1
11/09/2022,Transaction 273,5.17,debit,Food_Dining,BCC1
9/20/2022,Transaction 274,1.0,debit,Food_Dining,BCC1
9/20/2022,Transaction 275,1.5,debit,Food_Dining,BCC1
10/05/2022,Transaction 276,2.25,debit,Food_Dining,BCC2
9/27/2022,Transaction 277,1.5,debit,Food_Dining,BCC2
10/13/2022,Transaction 278,1.5,debit,Food_Dining,BCC2
9/29/2022,Transaction 279,1.5,debit,Food_Dining,BCC2
10/13/2022,Transaction 280,1.5,debit,Food_Dining,BCC2
8/31/2022,Transaction 281,1.5,debit,Food_Dining,BCC1
9/20/2022,Transaction 282,2.0,debit,Food_Dining,BCC1
11/17/2022,Transaction 283,3.0,debit,Food_Dining,BCC1
9/16/2022,Transaction 284,2.25,debit,Food_Dining,BCC1
11/02/2022,Transaction 285,3.25,debit,Food_Dining,BCC1
10/20/2022,Transaction 286,3.25,debit,Food_Dining,BCC1
10/24/2022,Transaction 287,2.25,debit,Food_Dining,BCC2
9/29/2022,Transaction 288,1.5,debit,Food_Dining,BCC2
10/13/2022,Transaction 289,2.25,debit,Food_Dining,BCC2
9/22/2022,Transaction 290,2.25,debit,Food_Dining,BCC2
10/06/2022,Transaction 291,3.25,debit,Food_Dining,BCC2
9/22/2022,Transaction 292,3.0,debit,Food_Dining,BCC2
11/15/2022,Transaction 293,1.5,debit,Food_Dining,C
11/15/2022,Transaction 294,11.25,debit,Food_Dining,BCC1
10/18/2022,Transaction 295,4.91,debit,Health_Fitness,BCC1
11/29/2022,Transaction 296,10.56,debit,Food_Dining,BCC1
12/05/2022,Transaction 297,9.26,debit,Shopping,BCC1
12/06/2022,Transaction 298,42.02,debit,Shopping,BCC1
12/10/2022,Transaction 299,9.26,credit,Shopping,BCC1
10/27/2022,Transaction 303,3.62,debit,Food_Dining,C
12/04/2022,Transaction 304,9.33,debit,Food_Dining,CCC1
9/19/2022,Transaction 305,69.0,debit,Shopping,BCC1
10/12/2022,Transaction 309,43.56,debit,Business Services,BCC2
12/19/2022,Transaction 311,10.0,credit,Bills_Utilities,W
